RA,DEC,NAME
222.7092083,21.7483611,SFCG162
224.680625,53.8741944,SFCG163
226.2723333,8.7248056,SFCG164
226.8839167,28.8340833,SFCG165
227.270875,61.9424722,SFCG166
227.771125,39.4765278,SFCG167
228.1649583,26.5730278,SFCG168
228.5784167,46.1122778,SFCG169
230.173375,30.4668056,SFCG170
230.946375,2.6689167,SFCG171
232.7852917,3.8301111,SFCG172
235.7978333,53.2264444,SFCG173
236.4512083,44.2590278,SFCG174
237.7314583,34.0965556,SFCG175
238.3765833,20.9671667,SFCG176
238.6680833,30.1247778,SFCG177
241.1669167,26.6237222,SFCG178
244.193625,56.3481111,SFCG179
244.4440833,41.8928056,SFCG180
245.8170833,15.8041667,SFCG181
249.9190417,39.5278611,SFCG182
261.6569583,32.2238611,SFCG183
233.2950833,12.8795556,SFCG257
243.3022917,8.5478611,SFCG258
249.4189167,54.9756667,SFCG259
259.1441667,39.0879722,SFCG260
