RA_obj,DEC_obj,NAME_obj,STATUS_1,PRIORITY,PID,NAME_tile,RA_tile,DEC_tile,RA_d_tile,DEC_d_tile
332.132,-57.2888333,196,666,1,SPLUS,SPLUS-s44s39,22:12:15,-56:59:06,333.0625,-56.985
23.1335417,-54.6343611,31,666,1,SPLUS,SPLUS-s42s11,1:31:43,-54:25:34,22.92916667,-54.42611111
25.5689167,-54.4324167,35,666,1,SPLUS,SPLUS-s42s12,1:40:54,-54:25:34,25.225,-54.42611111
2.8417917,-53.9554444,3,666,0,SPLUS,SPLUS-s42s02,0:09:10,-54:25:34,2.291666667,-54.42611111
16.0889167,-51.0198333,24,666,2,SPLUS,SPLUS-s39s09,1:07:22,-50:33:45,16.84166667,-50.5625
4.2522917,-51.0608611,227,666,0,SPLUS,SPLUS-s39s03,0:16:51,-50:33:45,4.2125,-50.5625
358.7685,-50.0628611,225,666,2,SPLUS,SPLUS-s39s57,23:51:35,-50:33:45,357.8958333,-50.5625
323.84725,-49.93475,263,666,1,SPLUS,SPLUS-s39s41,21:36:51,-50:33:45,324.2125,-50.5625
347.446,-48.5678889,213,666,1,SPLUS,SPLUS-s37s55,23:12:00,-47:58:16,348,-47.97111111
339.958,-47.4905278,206,666,0,SPLUS,SPLUS-s37s51,22:40:00,-47:58:16,340,-47.97111111
351.915,-47.0478333,214,666,1,SPLUS,SPLUS-s36s59,23:28:42,-46:40:19,352.175,-46.67194444
353.7625,-47.9746111,218,666,1,SPLUS,SPLUS-s37s58,23:36:00,-47:58:16,354,-47.97111111
357.5285,-47.1721389,223,666,1,SPLUS,SPLUS-s36s62,23:52:10,-46:40:19,358.0416667,-46.67194444
321.98475,-46.64275,262,666,1,SPLUS,SPLUS-s36s44,21:31:18,-46:40:19,322.825,-46.67194444
12.2406667,-45.7701944,17,666,2,SPLUS,SPLUS-s35s07,0:45:43,-45:22:11,11.42916667,-45.36972222
4.6199583,-42.1275556,7,666,1,SPLUS,SPLUS-s32s04,0:21:30,-41:26:57,5.375,-41.44916667
3.3276667,-41.5796389,4,666,1,SPLUS,SPLUS-s32s03,0:14:20,-41:26:57,3.583333333,-41.44916667
340.1345,-38.36875,207,666,2,SPLUS,SPLUS-s30s59,22:37:19,-38:49:26,339.3291667,-38.82388889
354.88475,-38.6698333,219,666,1,SPLUS,SPLUS-s30s68,23:39:20,-38:49:26,354.8333333,-38.82388889
330.62375,-22.8943333,195,666,1,SPLUS,SPLUS-s18s32,22:02:56,-22:55:02,330.7333333,-22.91722222
5.67,-20.5771667,10,666,2,SPLUS,SPLUS-s16s05,0:23:02,-20:14:34,5.758333333,-20.24277778
326.1695,-20.0708889,192,666,1,SPLUS,SPLUS-s16s30,21:47:31,-20:14:34,326.8791667,-20.24277778
345.3735,-20.0430278,212,666,2,SPLUS,SPLUS-s16s43,23:02:24,-20:14:34,345.6,-20.24277778
359.8595,-20.3931111,226,666,1,SPLUS,SPLUS-s16s01,0:00:04,-20:14:34,0.01666666667,-20.24277778
328.8692917,-20.8628889,276,666,0,SPLUS,SPLUS-s16s31,21:53:17,-20:14:34,328.3208333,-20.24277778
12.2949167,-18.2951944,18,666,0,SPLUS,SPLUS-s15s10,0:51:26,-18:54:11,12.85833333,-18.90305556
343.5445,-18.1571111,210,666,0,SPLUS,SPLUS-s14s42,22:51:58,-17:33:44,342.9916667,-17.56222222
359.0346667,-17.23925,265,666,2,SPLUS,SPLUS-s14s53,23:54:20,-17:33:44,358.5833333,-17.56222222
353.17325,-13.2091389,217,666,1,SPLUS,SPLUS-s11s21,23:32:12,-13:31:50,353.05,-13.53055556
355.72325,-13.0584722,220,666,1,SPLUS,SPLUS-s11s23,23:43:19,-13:31:50,355.8291667,-13.53055556
336.5065,-11.1270556,203,666,2,SPLUS,SPLUS-s09s10,22:26:12,-10:50:08,336.55,-10.83555556
169.9204167,-6.509,101,666,1,SPLUS,SPLUS-n06s16,11:21:49,-6:46:57,170.4541667,-6.7825
167.52375,-1.01125,97,666,2,SPLUS,SPLUS-n02s13,11:08:23,-1:21:33,167.0958333,-1.359166667
