PID,NAME_1,RA_1,DEC_1,RA_d,DEC_d,EPOC,STATUS_1,Failed filters,OBS,color,ADD,N,RA_2,DEC_2,NAME_2,STATUS_2,Separation
MC,MC0002,4:43:05,-63:16:04,70.77083333,-63.26777778,2000,1,-,combine just 2018,5,1,78,71.5085833,-62.4041389,237,666,3337.1177705486343
MC,MC0068,6:19:47,-69:42:20,94.94583333,-69.70555556,2000,1,-,gals and GC,5,1,81,97.2095833,-69.6947222,72,666,2827.440653040292
SPLUS,SPLUS-s18s03,0:11:42,-22:55:02,2.925,-22.91722222,2000,1,ToBeDef,ToBeDef,0,-5,0,3.5375833,-22.5641389,5,666,2398.3931692926863
SPLUS,SPLUS-s20s07,0:35:51,-25:35:07,8.9625,-25.58527778,2000,1,-,galaxy cluster,4,1,36,9.4815417,-25.0715556,15,666,2504.5398188953254
SPLUS,SPLUS-s20s49,23:42:04,-25:35:07,355.5166667,-25.58527778,2000,1,ToBeDef,ToBeDef,0,-5,0,356.093,-26.0326389,222,666,2466.272720584396
SPLUS,SPLUS-s28s04,0:20:00,-36:11:28,5.0,-36.19111111,2000,1,ToBeDef,ToBeDef,0,-5,0,4.6624583,-35.9526667,8,666,1304.4246381955288
SPLUS,SPLUS-s28s50,21:20:00,-36:11:28,320.0,-36.19111111,2000,1,-,galaxies,5,1,36,319.3525,-35.9165556,189,666,2127.994024373066
SPLUS,SPLUS-s31s15,1:38:20,-40:08:16,24.58333333,-40.13777778,2000,1,F395 F410 F430 F515 G,6,0,-5,0,24.6247083,-40.0130833,34,666,463.143452998581
SPLUS,SPLUS-s32s20,2:16:07,-41:26:57,34.02916667,-41.44916667,2000,1,ToBeDef,ToBeDef,0,-5,0,33.6791667,-41.6420833,41,666,1171.157909375437
SPLUS,SPLUS-s32s25,2:51:56,-41:26:57,42.98333333,-41.44916667,2000,1,-,ToBeDef,1,1,36,43.4509167,-41.9697222,47,666,2256.3151124417222
SPLUS,SPLUS-s32s62,23:17:01,-41:26:57,349.2541667,-41.44916667,2000,1,ToBeDef,ToBeDef,0,-5,0,349.18325,-41.6555833,264,666,767.2671120545691
SPLUS,SPLUS-s33s26,3:02:44,-42:45:30,45.68333333,-42.75833333,2000,1,-,ToBeDef,2,1,36,46.5577917,-42.6678889,49,666,2335.852599859356
SPLUS,SPLUS-s36s25,3:07:50,-46:40:19,46.95833333,-46.67194444,2000,1,-,ToBeDef,3,1,36,47.150375,-47.2744167,50,666,2219.606635818704
