RA,DEC,Group
14.394,-35.7386111,22
14.3999167,-35.7621944,22
14.4062083,-35.765,22
14.4217917,-35.763,22
15.5547083,-17.2218056,23
15.561,-17.2048889,23
15.5762083,-17.193,23
15.5939167,-17.1858889,23
43.4315,-41.9773056,47
43.4530833,-41.9665,47
43.4537917,-41.9556944,47
43.4652917,-41.9793889,47
52.9395833,-39.6141944,54
52.9467917,-39.6316111,54
52.9580833,-39.6315,54
52.9720833,-39.6138056,54
55.6107917,-41.1556944,60
55.6112917,-41.1446111,60
55.6192917,-41.17,60
55.6315,-41.1493889,60
97.1695833,-69.6801111,72
97.2225,-69.7158056,72
97.2229167,-69.6971944,72
97.2234167,-69.6858056,72
314.473,-24.9623889,186
314.482,-24.9843889,186
314.49,-24.948,186
314.494,-24.9628889,186
319.342,-35.9005,189
319.35,-35.9218889,189
319.356,-35.9178889,189
319.362,-35.9258889,189
319.492,-50.7455,190
319.505,-50.7391111,190
319.51,-50.767,190
319.544,-50.7571944,190
330.168,-42.8186111,194
330.181,-42.8215,194
330.199,-42.8155,194
330.211,-42.8286111,194
352.529,-44.1966111,216
352.534,-44.2056944,216
352.559,-44.1768889,216
352.562,-44.189,216
66.7155833,-49.1161944,235
66.7280833,-49.1176667,235
66.7312917,-49.1246944,235
66.7572917,-49.1238333,235
66.7724167,-49.1146389,235
