RAJ2000,DEJ2000,NAME
20:49:56.76,-48:54:18.1,185
20:57:56.34,-24:57:51.9,186
20:59:27.30,-60:39:47.6,188
21:17:24.60,-35:54:59.6,189
21:18:03.06,-50:45:07.9,190
21:44:40.68,-20:04:15.2,192
21:50:48.78,-61:44:28.2,193
22:00:45.54,-42:49:15.8,194
22:02:29.70,-22:53:39.6,195
22:08:31.68,-57:17:19.8,196
22:18:41.10,-24:10:45.1,199
22:20:49.56,-69:46:36.0,200
22:22:24.96,-61:17:01.4,201
22:25:29.40,-27:42:12.1,202
22:26:01.56,-11:07:37.4,203
22:32:20.34,-25:26:21.0,204
22:33:10.98,-60:55:21.6,205
22:40:32.28,-38:22:07.5,207
22:43:11.58,-34:37:55.1,208
22:54:10.68,-18:09:25.6,210
21:27:56.34,-46:38:33.9,262
21:35:23.34,-49:56:05.1,263
21:55:28.63,-20:51:46.4,276
